action,confidence,src_id,entry_file,old_filename,new_filename,notes
rename,high-exact-register-filename,SRC-102,commercial-automation-cost-stack-2026-scraping-proxies-captcha-sms.md,12 Best & Cheapest Residential Proxies in 2026 (Tested & Ranked).pdf,SRC-102-12-best-and-cheapest-residential-proxies-in-2026-tested-and-ranked.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-020,akrout-2019-recaptcha-v3-reinforcement-learning.md,1903.01003v3.pdf,SRC-020-akrout-2019-recaptcha-v3-reinforcement-learning.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-066,laperdrix-2020-browser-fingerprinting-survey.md,1905.01051v2.pdf,SRC-066-1905-01051v2.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-019,acien-2021-becaptcha-mouse-synthetic-mouse-trajectories.md,2005.00890v2.pdf,SRC-019-acien-2021-becaptcha-mouse-synthetic-mouse-trajectories.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-017,andriamilanto-2021-large-scale-browser-fingerprints-web-authentication.md,2006.09511v2.pdf,SRC-017-andriamilanto-2021-large-scale-browser-fingerprints-web-authentication.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-normalized-register-filename,SRC-034,f5-2021-credential-stuffing-report.md,2021 Credential Stuffing Report _ F5 Labs.pdf,SRC-034-f5-2021-credential-stuffing-report.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-080,ticketmaster-prestige-2018-2019-ticket-bots-settlement.md,2021-01-14-GT-ACC-InternetLawYIR-Database Protection.pdf,SRC-080-2021-01-14-gt-acc-internetlawyir-database-protection.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-100,kasada-2026-q1-threat-enablers-saasification-adversarial-infrastructure.md,2026-Q1 - Kasada - Quarterly Threat Report.pdf,SRC-100-kasada-2026-q1-threat-enablers-saasification-adversarial-infrastructure.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-039,thales-2026-bad-bot-report.md,2026-thales-bad-bot-report.pdf,SRC-039-thales-2026-bad-bot-report.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-015,venugopalan-2025-fp-inconsistent-fingerprint-inconsistencies-evasive-bot-traffic.md,2406.07647v3.pdf,SRC-015-venugopalan-2025-fp-inconsistent-fingerprint-inconsistencies-evasive-bot-traffic.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
rename,high-exact-register-filename,SRC-074,sajid-2025-hooking-based-deception-keylogging.md,2508.04178v1.pdf,SRC-074-sajid-2025-hooking-based-deception-keylogging.pdf,PDF filename mentioned in register entry; normalized match allowed for punctuation/underscore variants
